Temps (s),Angle (rad)
3.06164,0.336150414
3.069832,0.361283155
3.077,0.389557489
3.085192,0.41469023
3.093384,0.439822972
3.101576,0.464955713
3.109768,0.490088454
3.116936,0.515221195
3.125128,0.537212344
3.13332,0.562345085
3.141512,0.584336234
3.149704,0.609468975
3.157896,0.631460123
3.165064,0.653451272
3.173256,0.675442421
3.181448,0.694291976
3.18964,0.716283125
3.197832,0.735132681
3.205,0.753982237
3.213192,0.772831793
3.221384,0.791681349
3.229576,0.810530905
3.237768,0.829380461
3.24596,0.845088424
3.253128,0.860796387
3.26132,0.87650435
3.269512,0.892212314
3.277704,0.907920277
3.285896,0.920486648
3.293064,0.936194611
3.301256,0.948760981
3.309448,0.961327352
3.31764,0.97075213
3.325832,0.983318501
3.333,0.992743279
3.341192,1.00216806
3.349384,1.01159283
3.357576,1.01787602
3.365768,1.0273008
3.37396,1.03358398
3.381128,1.03986717
3.38932,1.04615035
3.397512,1.04929195
3.405704,1.05243354
3.413896,1.05871672
3.423112,1.06185832
3.438472,1.06499991
3.462024,1.06185832
3.47636,1.05871672
3.485576,1.05557513
3.492744,1.05243354
3.498888,1.04929195
3.504008,1.04615035
3.509128,1.04300876
3.51732,1.03986717
3.525512,1.03358398
3.533704,1.02415921
3.541896,1.01787602
3.549064,1.00845124
3.557256,1.00216806
3.565448,0.992743279
3.57364,0.980176908
3.581832,0.97075213
3.589,0.958185759
3.597192,0.945619389
3.605384,0.933053018
3.613576,0.920486648
3.621768,0.907920277
3.628936,0.892212314
3.637128,0.87650435
3.64532,0.860796387
3.653512,0.845088424
3.661704,0.829380461
3.668872,0.810530905
3.677064,0.794822941
3.685256,0.775973385
3.693448,0.75712383
3.70164,0.738274274
3.709832,0.719424718
3.717,0.697433569
3.725192,0.678584013
3.733384,0.656592865
3.741576,0.634601716
3.749768,0.612610567
3.756936,0.590619419
3.765128,0.56862827
3.77332,0.543495529
3.781512,0.52150438
3.789704,0.496371639
3.796872,0.474380491
3.805064,0.449247749
3.813256,0.424115008
3.821448,0.398982267
3.82964,0.373849526
3.836808,0.348716785
3.845,0.323584043
3.853192,0.298451302
3.861384,0.270176968
3.869576,0.245044227
3.877768,0.219911486
3.884936,0.191637152
3.893128,0.166504411
3.90132,0.138230077
3.909512,0.109955743
3.917704,0.0848230016
3.924872,0.0565486678
3.933064,0.0314159265
3.941256,0.00314159265
3.949448,-0.0219911486
3.95764,-0.0502654825
3.964808,-0.0753982237
3.973,-0.103672558
3.981192,-0.128805299
3.989384,-0.157079633
3.997576,-0.182212374
4.004744,-0.210486708
4.012936,-0.235619449
4.021128,-0.263893783
4.02932,-0.289026524
4.037512,-0.314159265
4.04468,-0.339292007
4.052872,-0.364424748
4.061064,-0.389557489
4.069256,-0.41469023
4.077448,-0.439822972
4.084616,-0.46181412
4.092808,-0.486946861
4.101,-0.50893801
