Temps (s),Angle (rad)
3.975372,-0.0691150384
3.98254,-0.091106187
3.990732,-0.116238928
3.998924,-0.141371669
4.007116,-0.166504411
4.015308,-0.188495559
4.022476,-0.2136283
4.030668,-0.238761042
4.03886,-0.26075219
4.047052,-0.285884931
4.055244,-0.30787608
4.063436,-0.333008821
4.070604,-0.35499997
4.078796,-0.376991118
4.086988,-0.398982267
4.09518,-0.420973416
4.103372,-0.442964564
4.111564,-0.464955713
4.118732,-0.486946861
4.126924,-0.50893801
4.135116,-0.527787566
4.143308,-0.546637122
4.1515,-0.56862827
4.159692,-0.587477826
4.16686,-0.606327382
4.175052,-0.625176938
4.183244,-0.644026494
4.191436,-0.659734457
4.199628,-0.678584013
4.20782,-0.694291976
4.214988,-0.70999994
4.22318,-0.725707903
4.231372,-0.741415866
4.239564,-0.75712383
4.247756,-0.7696902
4.254924,-0.782256571
4.263116,-0.794822941
4.271308,-0.807389312
4.2795,-0.819955683
4.287692,-0.832522053
4.29486,-0.841946831
4.303052,-0.851371609
4.311244,-0.860796387
4.319436,-0.870221165
4.327628,-0.879645943
4.334796,-0.885929128
4.342988,-0.895353906
4.35118,-0.901637092
4.359372,-0.907920277
4.367564,-0.91106187
4.374732,-0.917345055
4.382924,-0.920486648
4.391116,-0.92362824
4.399308,-0.926769833
4.409548,-0.929911425
4.447436,-0.926769833
4.459724,-0.92362824
4.467916,-0.920486648
4.475084,-0.917345055
4.481228,-0.914203462
4.487372,-0.91106187
4.49454,-0.907920277
4.502732,-0.901637092
4.510924,-0.895353906
4.519116,-0.889070721
4.527308,-0.879645943
4.5355,-0.873362758
4.542668,-0.86393798
4.55086,-0.854513202
4.559052,-0.845088424
4.567244,-0.832522053
4.575436,-0.823097275
4.583628,-0.810530905
4.590796,-0.797964534
4.598988,-0.785398163
4.60718,-0.772831793
4.615372,-0.75712383
4.623564,-0.744557459
4.631756,-0.728849496
4.638924,-0.713141532
4.647116,-0.697433569
4.655308,-0.681725606
4.6635,-0.666017643
4.671692,-0.647168087
4.67886,-0.631460123
4.687052,-0.612610567
4.695244,-0.593761012
4.703436,-0.574911456
4.711628,-0.5560619
4.718796,-0.534070751
4.726988,-0.515221195
4.73518,-0.493230047
4.743372,-0.474380491
4.751564,-0.452389342
4.758732,-0.430398194
4.766924,-0.408407045
4.775116,-0.386415896
4.783308,-0.364424748
4.7915,-0.342433599
4.798668,-0.320442451
4.80686,-0.295309709
4.815052,-0.273318561
4.823244,-0.24818582
4.831436,-0.226194671
4.838604,-0.20106193
4.846796,-0.179070781
4.854988,-0.15393804
4.86318,-0.131946891
4.871372,-0.10681415
4.87854,-0.081681409
4.886732,-0.0596902604
4.894924,-0.0345575192
4.903116,-0.00942477796
4.911308,0.0157079633
4.918476,0.0376991118
4.926668,0.0628318531
4.93486,0.0879645943
4.943052,0.109955743
4.951244,0.135088484
4.958412,0.157079633
4.966604,0.182212374
4.974796,0.204203522
4.982988,0.229336264
4.99118,0.251327412
4.999372,0.276460154
5.00654,0.298451302
5.014732,0.320442451
5.022924,0.342433599
5.031116,0.364424748
5.039308,0.386415896
5.0475,0.408407045
5.054668,0.430398194
5.06286,0.452389342
5.071052,0.471238898
5.079244,0.493230047
5.087436,0.512079603
5.094604,0.534070751
5.102796,0.552920307
5.110988,0.571769863
5.11918,0.590619419
5.127372,0.609468975
5.13454,0.625176938
5.142732,0.644026494
5.150924,0.659734457
5.159116,0.675442421
5.167308,0.694291976
5.174476,0.70999994
5.182668,0.72256631
5.19086,0.738274274
5.199052,0.753982237
5.207244,0.766548607
5.214412,0.779114978
5.222604,0.791681349
5.230796,0.804247719
5.238988,0.81681409
5.24718,0.826238868
5.255372,0.838805239
5.26254,0.848230016
5.270732,0.857654794
5.278924,0.867079572
5.287116,0.873362758
5.295308,0.882787536
5.302476,0.889070721
5.310668,0.895353906
5.31886,0.901637092
5.327052,0.907920277
5.335244,0.91106187
5.343436,0.914203462
5.350604,0.920486648
5.358796,0.92362824
5.371084,0.926769833
5.417164,0.92362824
5.428428,0.920486648
5.437644,0.917345055
5.443788,0.914203462
5.449932,0.91106187
5.456076,0.907920277
5.463244,0.904778684
5.470412,0.898495499
5.478604,0.892212314
5.486796,0.885929128
5.494988,0.879645943
5.50318,0.870221165
5.511372,0.86393798
5.51854,0.854513202
5.526732,0.845088424
5.534924,0.835663646
5.543116,0.823097275
5.550284,0.813672497
5.558476,0.801106127
5.566668,0.788539756
5.57486,0.775973385
5.583052,0.763407015
5.591244,0.747699052
5.598412,0.735132681
5.606604,0.719424718
5.614796,0.703716754
5.622988,0.688008791
5.63118,0.672300828
5.638348,0.656592865
5.64654,0.640884901
5.654732,0.622035345
5.662924,0.603185789
5.671116,0.587477826
5.678284,0.56862827
5.686476,0.549778714
5.694668,0.530929158
5.70286,0.50893801
5.711052,0.490088454
5.719244,0.468097305
5.726412,0.449247749
5.734604,0.427256601
5.742796,0.405265452
5.750988,0.386415896
5.75918,0.364424748
5.766348,0.342433599
5.77454,0.320442451
5.782732,0.295309709
5.790924,0.273318561
5.799116,0.251327412
5.806284,0.229336264
5.814476,0.204203522
5.822668,0.182212374
5.83086,0.160221225
5.839052,0.135088484
5.84622,0.109955743
5.854412,0.0879645943
5.862604,0.0628318531
5.870796,0.0408407045
5.878988,0.0157079633
5.88718,-0.00628318531
5.894348,-0.0314159265
5.90254,-0.0534070751
5.910732,-0.0785398163
5.918924,-0.100530965
5.927116,-0.125663706
5.934284,-0.147654855
5.942476,-0.172787596
5.950668,-0.194778745
5.95886,-0.219911486
5.967052,-0.241902634
5.97422,-0.263893783
5.982412,-0.289026524
5.990604,-0.311017673
5.998796,-0.333008821
6.006988,-0.35499997
6.01518,-0.376991118
6.022348,-0.398982267
6.03054,-0.417831823
6.038732,-0.439822972
6.046924,-0.46181412
6.055116,-0.480663676
6.062284,-0.499513232
6.070476,-0.52150438
6.078668,-0.540353936
6.08686,-0.559203492
6.095052,-0.578053048
6.10222,-0.596902604
6.110412,-0.612610567
6.118604,-0.631460123
6.126796,-0.647168087
6.134988,-0.66287605
6.14318,-0.678584013
6.150348,-0.694291976
6.15854,-0.70999994
6.166732,-0.72256631
6.174924,-0.738274274
6.183116,-0.750840644
6.190284,-0.763407015
6.198476,-0.775973385
6.206668,-0.788539756
6.21486,-0.797964534
6.223052,-0.810530905
6.23022,-0.819955683
6.238412,-0.829380461
6.246604,-0.838805239
6.254796,-0.845088424
6.262988,-0.854513202
6.270156,-0.860796387
6.278348,-0.867079572
6.28654,-0.873362758
6.294732,-0.879645943
6.302924,-0.882787536
6.310092,-0.889070721
6.318284,-0.892212314
6.326476,-0.895353906
6.336716,-0.898495499
6.382796,-0.895353906
6.39406,-0.892212314
6.401228,-0.889070721
6.408396,-0.885929128
6.41454,-0.882787536
6.422732,-0.879645943
6.4299,-0.873362758
6.438092,-0.870221165
6.446284,-0.860796387
6.454476,-0.854513202
6.462668,-0.848230016
6.47086,-0.838805239
6.478028,-0.829380461
6.48622,-0.819955683
6.494412,-0.810530905
6.502604,-0.801106127
6.510796,-0.788539756
6.518988,-0.779114978
6.526156,-0.766548607
6.534348,-0.753982237
6.54254,-0.741415866
6.550732,-0.725707903
6.558924,-0.713141532
6.566092,-0.697433569
6.574284,-0.681725606
6.582476,-0.666017643
6.590668,-0.650309679
6.59886,-0.634601716
6.606028,-0.618893753
6.61422,-0.600044197
6.622412,-0.581194641
6.630604,-0.565486678
6.638796,-0.546637122
6.646988,-0.527787566
6.654156,-0.50893801
6.662348,-0.486946861
6.67054,-0.468097305
6.678732,-0.449247749
6.686924,-0.427256601
6.694092,-0.405265452
6.702284,-0.386415896
6.710476,-0.364424748
6.718668,-0.342433599
6.72686,-0.320442451
6.734028,-0.298451302
6.74222,-0.276460154
6.750412,-0.254469005
6.758604,-0.229336264
6.766796,-0.207345115
6.773964,-0.185353967
6.782156,-0.160221225
6.790348,-0.138230077
6.79854,-0.116238928
6.806732,-0.091106187
6.814924,-0.0691150384
6.822092,-0.0439822972
6.830284,-0.0219911486
6.838476,0.00314159265
6.846668,0.0251327412
6.85486,0.0471238898
6.862028,0.072256631
6.87022,0.0942477796
6.878412,0.116238928
6.886604,0.141371669
6.894796,0.163362818
6.901964,0.185353967
6.910156,0.210486708
6.918348,0.232477856
6.92654,0.254469005
6.934732,0.276460154
6.942924,0.298451302
