Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit	Wavelength (nm) - Tracé 2	Theorical Reflectance (0..1) - Tracé 2
499.05	121.065	581.75	0.773294	1.21065	
499.41	122.167	582.75	0.771167	1.22167	
499.78	122.464	583.75	0.768811	1.22464	
500.14	113.302	584.75	0.766343	1.13302	
500.51	115.566	585.75	0.763677	1.15566	
500.87	111.494	586.75	0.759383	1.11494	
501.24	107.816	587.75	0.756057	1.07816	
501.6	106.834	588.75	0.752245	1.06834	
501.97	111.163	589.75	0.748461	1.11163	
502.33	107.243	590.75	0.744266	1.07243	
502.7	107.042	591.75	0.739994	1.07042	
503.06	110.599	592.75	0.735552	1.10599	
503.43	104.784	593.75	0.730674	1.04784	
503.79	102.968	594.75	0.725862	1.02968	
504.16	107.009	595.75	0.720867	1.07009	
504.52	100.909	596.75	0.715543	1.00909	
504.88	94.967	597.75	0.710183	0.94967	
505.25	99.317	598.75	0.704639	0.99317	
505.61	95.833	599.75	0.699031	0.95833	
505.98	91.461	600.75	0.69329	0.91461	
506.34	94.934	601.75	0.687428	0.94934	
506.71	96.875	602.75	0.681288	0.96875	
507.07	88.21	603.75	0.675259	0.8821	
507.43	89.183	604.75	0.669167	0.89183	
507.8	87.778	605.75	0.663044	0.87778	
508.16	91.228	606.75	0.656879	0.91228	
508.53	87.662	607.75	0.650652	0.87662	
508.89	82.729	608.75	0.644407	0.82729	
509.25	82.143	609.75	0.638158	0.82143	
509.62	79.583	610.75	0.631918	0.79583	
509.98	81.857	611.75	0.625704	0.81857	
510.34	78.288	612.75	0.619529	0.78288	
510.71	74.486	613.75	0.613409	0.74486	
511.07	77.167	614.75	0.60736	0.77167	
511.43	78.692	615.75	0.601394	0.78692	
511.8	72.819	616.75	0.595534	0.72819	
512.16	72.784	617.75	0.589937	0.72784	
512.52	70.04	618.75	0.582238	0.7004	
512.89	73.069	619.75	0.576962	0.73069	
513.25	67.755	620.75	0.571703	0.67755	
513.61	66.068	621.75	0.566632	0.66068	
513.98	64.729	622.75	0.561738	0.64729	
514.34	65.538	623.75	0.557009	0.65538	
514.7	63.23	624.75	0.552484	0.6323	
515.07	61.524	625.75	0.548334	0.61524	
515.43	61.988	626.75	0.544257	0.61988	
515.79	60.694	627.75	0.540532	0.60694	
516.15	61.598	628.75	0.536905	0.61598	
516.52	56.797	629.75	0.533519	0.56797	
516.88	55.204	630.75	0.530467	0.55204	
517.24	57.116	631.75	0.527613	0.57116	
517.6	55.249	632.75	0.525206	0.55249	
517.97	54.36	633.75	0.522874	0.5436	
518.33	52.072	634.75	0.520816	0.52072	
518.69	51.872	635.75	0.519026	0.51872	
519.05	49.734	636.75	0.517708	0.49734	
519.41	49.033	637.75	0.516504	0.49033	
519.78	51.434	638.75	0.515518	0.51434	
520.14	50.262	639.75	0.514988	0.50262	
520.5	49.4	640.75	0.514642	0.494	
520.86	47.432	641.75	0.514463	0.47432	
521.22	49.144	642.75	0.514696	0.49144	
521.58	45.973	643.75	0.515185	0.45973	
521.95	46.423	644.75	0.515788	0.46423	
522.31	45.514	645.75	0.516748	0.45514	
522.67	43.86	646.75	0.518003	0.4386	
523.03	45.104	647.75	0.519337	0.45104	
523.39	45.425	648.75	0.521002	0.45425	
523.75	43.574	649.75	0.52298	0.43574	
524.11	41.9	650.75	0.525035	0.419	
524.47	42.308	651.75	0.527454	0.42308	
524.84	41.667	652.75	0.529857	0.41667	
525.2	43.759	653.75	0.534356	0.43759	
525.56	40.843	654.75	0.537251	0.40843	
525.92	41.441	655.75	0.540293	0.41441	
526.28	40.778	656.75	0.543692	0.40778	
526.64	41.202	657.75	0.547033	0.41202	
527	40.871	658.75	0.55071	0.40871	
527.36	41.259	659.75	0.554314	0.41259	
527.72	41.909	660.75	0.558226	0.41909	
528.08	41.517	661.75	0.562055	0.41517	
528.44	41.129	662.75	0.566158	0.41129	
528.8	40.86	663.75	0.57018	0.4086	
529.16	40.312	664.75	0.574449	0.40312	
529.52	40.944	665.75	0.578763	0.40944	
529.88	40.18	666.75	0.582986	0.4018	
530.24	41.992	667.75	0.587385	0.41992	
530.6	41.476	668.75	0.591701	0.41476	
530.96	40.171	669.75	0.596148	0.40171	
531.32	43.157	670.75	0.600691	0.43157	
531.68	41.787	671.75	0.605054	0.41787	
532.04	42.754	672.75	0.609514	0.42754	
532.4	44.759	673.75	0.613912	0.44759	
532.76	43.72	674.75	0.618408	0.4372	
533.12	42.263	675.75	0.622815	0.42263	
533.48	45.172	676.75	0.62716	0.45172	
533.84	44.419	677.75	0.631566	0.44419	
534.2	44.494	678.75	0.635846	0.44494	
