Lambda	Reflectivite
577.32	70.082
577.67	71.772
578.02	70.481
578.36	71.641
578.71	71.944
579.06	71.429
579.4	71.968
579.75	73.512
580.1	73.688
580.44	74.676
580.79	73.598
581.13	74.711
581.48	75.343
581.83	75.613
582.17	75.882
582.52	75.368
582.86	75.76
583.21	76.521
583.55	76.89
583.9	76.519
584.24	78.711
584.59	78.188
584.93	77.839
585.28	80.084
585.62	79.215
585.97	81.068
586.31	80.54
586.65	80.191
587	80.46
587.34	81.458
587.69	82.725
588.03	82.386
588.37	84.807
588.72	81.923
589.06	83.345
589.4	83.707
589.75	84.584
590.09	83.924
590.43	83.845
590.77	84.239
591.12	85.379
591.46	85.812
591.8	86.261
592.14	84.254
592.49	85.337
592.83	85.793
593.17	86.228
593.51	86.314
593.85	85.398
594.19	89.615
594.54	86.971
594.88	86.029
595.22	87.854
595.56	87.158
595.9	89.236
596.24	89.271
596.58	88.166
596.92	89.434
597.26	90.296
597.6	89.448
597.94	88.927
598.28	88.372
598.62	92.074
598.96	89.419
599.3	91.029
599.64	90.218
599.98	91.446
600.32	90.667
600.65	91.201
600.99	93.216
601.33	91.313
601.67	92.496
602.01	91.638
602.35	92.574
602.69	92.481
603.02	92.243
603.36	92.129
603.7	92.822
604.04	94.358
604.37	93.948
604.71	93.571
605.05	93.632
605.38	96.121
605.72	92.14
606.06	93.082
606.39	93.232
606.73	96.868
607.07	96.045
607.4	96.71
607.74	96.54
608.08	95.739
608.41	94.53
608.75	96.042
609.08	94.452
609.42	95.579
609.75	94.814
610.09	95.432
610.42	96.431
610.76	95.637
611.09	95.673
611.43	95.896
611.76	95.365
612.09	97.046
612.43	99.295
612.76	97.445
613.1	97.365
613.43	97.388
613.76	99.235
614.1	96.571
614.43	97.297
614.76	97.674
615.09	96.732
615.43	98.42
615.76	99.791
616.09	97.342
616.42	98.078
616.76	98.637
617.09	97.217
617.42	98.163
617.75	100.886
618.08	101.907
618.41	99.394
618.75	101.566
619.08	100.613
619.41	97.812
619.74	98.53
620.07	99.867
620.4	100.805
620.73	100.404
621.06	99.34
621.39	101.04
621.72	101.003
622.05	103.073
622.38	99.802
622.71	100.911
623.04	101.184
623.37	99.542
623.7	102.761
624.02	101.04
624.35	102.098
624.68	103.437
625.01	101.362
625.34	101.877
625.67	103.236
625.99	102.837
626.32	101.832
626.65	100.964
626.98	102.192
627.3	103.595
627.63	103.859
627.96	104.243
628.28	102.503
628.61	104.637
628.94	102.778
629.26	103.228
629.59	102.924
629.91	105.318
630.24	103.469
630.57	104.317
630.89	103.555
631.22	103.307
631.54	104.084
631.87	103.217
632.19	103.215
632.52	103.989
632.84	103.239
633.16	104.876
633.49	104.936
633.81	104.625
634.14	103.408
634.46	105.586
634.78	105.813
635.11	104.571
635.43	106.543
635.75	105.108
636.08	105.692
636.4	105.312
636.72	106.291
637.04	105.83
637.37	106.493
637.69	107.159
638.01	106.991
638.33	107.753
638.65	107.216
638.97	104.485
639.29	108.609
639.62	109.129
639.94	104.628
640.26	107.234
640.58	106.159
640.9	109.723
641.22	107.491
641.54	110.811
641.86	108.271
642.18	107.832
642.5	107.393
642.82	107.415
643.14	106.816
643.45	108.669
643.77	109.335
644.09	110.109
644.41	107.915
644.73	107.946
645.05	107.451
645.36	108.541
645.68	111.139
646	109.975
646.32	106.195
646.63	107.368
646.95	108.892
647.27	107.862
647.58	105.128
647.9	109.037
648.22	106.928
648.53	108.012
648.85	112.583
649.17	110.067
649.48	106.271
649.8	108.142
650.11	110.018
650.43	112.098
650.74	108.523
651.06	107.859
651.37	109.256
651.68	108.008
652	110.191
652.31	107.792
652.63	108.482
652.94	109.456
653.25	108.592
653.57	110.123
653.88	111.587
654.19	113.684
654.51	113.904
654.82	112.045
655.13	108.499
655.44	106.877
655.75	117.957
656.07	111.212
656.38	111.859
656.69	109.524
657	113.115
657.31	109.655
657.62	106.969
657.93	109.609
658.24	107.857
658.55	114.925
658.86	110.266
659.17	107.143
659.48	105.792
659.79	113.866
660.1	111.983
660.41	108.12
660.72	112.5
661.03	106.009
661.34	110.909
661.65	113.084
661.95	110.476
662.26	108.5
662.57	112.44
662.88	112.887
663.19	112.105
663.49	110.553
663.8	109.948
664.11	102.688
664.41	110.286
664.72	111.798
665.03	109.73
665.33	111.976
665.64	110.241
665.94	112.422
666.25	111.111
666.56	110.968
666.86	112.422
667.17	118.75
667.47	114.384
667.77	118.493
668.08	101.987
668.38	107.285
668.69	104.636
668.99	112.057
669.29	109.091
669.6	118.605
669.9	115.267
670.2	109.774
670.51	113.953
670.81	117.213
671.11	118.103
671.41	117.949
671.72	117.5
672.02	110.833
672.32	115.929
672.62	108.547
672.92	109.565
673.22	125
673.52	112.069
673.82	115.315
674.13	111.404
674.43	111.321
674.73	114.545
675.03	124.242
675.32	114.953
675.62	124.176
675.92	108
676.22	112.5
676.52	106.931
676.82	112.632
677.12	115.789
677.42	111.579
677.71	117.391
678.01	117.045
678.31	120
678.61	111.364
678.9	113.483
679.2	113.415
679.5	112.346
679.79	114.634
680.09	122.078
680.39	123.288
680.68	98.78
680.98	107.407
681.27	128.125
681.57	117.143
681.86	114.085
682.16	103.797
682.45	108.333
682.75	120
683.04	113.235
683.34	110.294
683.63	108.451
683.92	131.034
684.22	114.754
684.51	116.667
684.8	104.839
685.1	105.172
685.39	119.231
685.68	116.667
685.97	105
686.26	96.296
686.56	109.091
686.85	133.333
687.14	110.638
687.43	102
687.72	131.111
688.01	110.417
688.3	117.391
688.59	124.444
688.88	130.769
689.17	128.571
689.46	120.93
689.75	119.048
690.04	129.73
690.33	111.905
690.62	117.949
690.91	107.5
691.19	104.444
691.48	117.647
691.77	112.5
692.06	116.667
692.34	145.455
692.63	109.375
692.92	102.778
693.2	96.667
693.49	102.941
693.78	110.811
694.06	111.765
694.35	144.444
694.63	92.857
694.92	142.857
695.21	125.806
695.49	131.818
695.77	126.923
696.06	138.095
696.34	123.333
696.63	115.385
696.91	106.452
697.19	138.095
697.48	113.636
697.76	121.739
698.04	119.231
698.33	107.692
698.61	111.538
698.89	152.632
699.17	111.111
699.45	155.556
699.74	86.667
700.02	113.043
700.3	127.273
700.58	150
700.86	105.882
701.14	116.667
701.42	105
701.7	136.364
701.98	119.048
702.26	140
702.54	93.75
702.82	143.75
703.1	90
703.38	142.857
703.65	93.75
703.93	100
704.21	146.667
704.49	73.684
704.76	150
705.04	90
705.32	65.217
705.6	163.636
705.87	107.143
706.15	138.462
706.42	77.778
706.7	135.714
706.97	100
707.25	85.714
707.53	118.75
707.8	127.273
708.07	108.333
708.35	93.75
708.62	110
708.9	112.5
709.17	114.286
709.44	141.667
709.72	150
709.99	61.538
710.26	125
710.53	200
710.81	82.353
711.08	82.353
711.35	106.25
711.62	113.333
711.89	69.231
712.16	70.588
712.44	100
712.71	61.111
712.98	75
713.25	130
713.52	135.714
713.79	127.273
714.05	118.182
714.32	185.714
714.59	108.333
714.86	161.538
715.13	70
715.4	162.5
715.67	92.308
715.93	118.182
716.2	107.692
716.47	200
716.73	92.308
717	100
717.27	133.333
717.53	78.571
717.8	123.077
718.06	162.5
718.33	280
718.59	141.667
718.86	42.857
719.12	100
719.39	115.385
719.65	100
719.92	91.667
720.18	110
720.44	130
720.71	133.333
720.97	109.091
721.23	100
721.49	100
721.76	157.143
722.02	133.333
722.28	136.364
722.54	87.5
722.8	150
723.06	150
723.32	116.667
723.58	142.857
723.84	100
724.1	127.273
724.36	116.667
724.62	81.25
724.88	109.091
725.14	171.429
725.4	150
725.66	46.154
725.92	100
726.17	214.286
726.43	200
726.69	141.667
726.95	127.273
727.2	144.444
727.46	87.5
727.72	142.857
727.97	136.364
728.23	90
728.48	171.429
728.74	142.857
728.99	133.333
729.25	111.111
729.5	100
729.76	166.667
730.01	133.333
730.26	111.111
730.52	133.333
730.77	0
731.02	175
731.28	128.571
731.53	33.333
731.78	100
732.03	140
732.28	150
732.53	100
732.79	63.636
733.04	125
733.29	14.286
733.54	166.667
733.79	75
734.04	46.154
734.29	112.5
734.54	157.143
734.78	127.273
735.03	76.923
735.28	100
735.53	100
735.78	42.857
736.03	233.333
736.27	200
736.52	112.5
736.77	100
737.01	50
737.26	66.667
737.5	0
737.75	100
738	200
738.24	150
738.49	-100
738.73	166.667
738.97	-400
739.22	0
739.46	100
739.71	125
739.95	350
740.19	150
740.44	142.857
740.68	111.111
740.92	200
741.16	-400
741.4	50
741.64	200
741.89	116.667
742.13	157.143
742.37	-200
742.61	50
742.85	0
743.09	100
