Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit
625.67	78.894	761.75	0.635785
625.99	81.68	762.75	0.635211
626.32	79.179	763.75	0.634636
626.65	79.486	764.75	0.633805
626.98	79.77	765.75	0.633222
627.3	79.927	766.75	0.632395
627.63	79.72	767.75	0.631834
627.96	81.678	768.75	0.63125
628.28	80.439	769.75	0.630454
628.61	77.219	770.75	0.629898
628.94	79.011	771.75	0.629071
629.26	79.807	772.75	0.628536
629.59	79.21	773.75	0.627989
629.91	79.951	774.75	0.627162
630.24	79.694	775.75	0.626645
630.57	79.096	776.75	0.626105
630.89	79.804	777.75	0.625332
631.22	78.619	778.75	0.624782
631.54	79.121	779.75	0.624251
631.87	79.399	780.75	0.623725
632.19	79.726	781.75	0.62293
632.52	78.37	782.75	0.622425
632.84	76.918	783.75	0.621907
633.16	78.762	784.75	0.621391
633.49	77.157	785.75	0.62088
633.81	78.786	786.75	0.620116
634.14	79.284	787.75	0.619611
634.46	78.567	788.75	0.619107
634.78	77.672	789.75	0.618607
635.11	76.652	790.75	0.61811
635.43	79.74	791.75	0.617615
635.75	79.308	792.75	0.617124
636.08	78.586	793.75	0.616636
636.4	78.026	794.75	0.616152
636.72	78.557	795.75	0.615423
637.04	78.699	796.75	0.614938
637.37	76.762	797.75	0.614462
637.69	78.711	798.75	0.614255
638.01	78.442	799.75	0.613768
638.33	77.864	800.75	0.613301
638.65	79.155		
638.97	78.702		
639.29	77.916		
639.62	81.079		
639.94	77.47		
640.26	77.385		
640.58	78.058		
640.9	78.629		
641.22	76.854		
641.54	77.232		
641.86	80.154		
642.18	78.041		
642.5	78.684		
642.82	77.619		
643.14	78.261		
643.45	78.192		
643.77	76.471		
644.09	78.101		
644.41	77.69		
644.73	78.726		
645.05	79.895		
645.36	79.521		
645.68	80.022		
646	78.429		
646.32	78.857		
646.63	77.049		
646.95	79.369		
647.27	80.178		
647.58	76.756		
647.9	77.588		
648.22	76.975		
648.53	78.169		
648.85	76.529		
649.17	78.657		
649.48	76.523		
649.8	77.259		
650.11	75.078		
650.43	79.368		
650.74	77.513		
651.06	77.153		
651.37	77.778		
651.68	79.143		
652	80.512		
652.31	77.886		
652.63	75.595		
652.94	74.949		
653.25	76.907		
653.57	74.51		
653.88	77.752		
654.19	75.973		
654.51	75.87		
654.82	75.426		
655.13	71.712		
655.44	73.858		
655.75	75.401		
656.07	73.262		
656.38	73.481		
656.69	78.674		
657	73.043		
657.31	75.229		
657.62	73.52		
657.93	71.746		
658.24	74.757		
658.55	72.131		
658.86	75.254		
659.17	72.917		
659.48	70.69		
659.79	75.912		
660.1	71.212		
660.41	69.888		
660.72	72.656		
661.03	72.177		
661.34	72.458		
661.65	68.8		
661.95	67.647		
662.26	69.915		
662.57	75.893		
662.88	72.222		
663.19	66.667		
663.49	74.396		
663.8	75.362		
664.11	70.202		
664.41	71.717		
664.72	68.878		
665.03	71.579		
665.33	71.354		
665.64	73.262		
665.94	69.714		
666.25	69.945		
666.56	71.667		
666.86	70.857		
667.17	66.86		
667.47	68.824		
667.77	67.683		
668.08	66.061		
668.38	72.327		
668.69	67.5		
668.99	68.79		
669.29	62.42		
669.6	65.541		
669.9	66.207		
670.2	63.946		
670.51	64.828		
670.81	62.59		
671.11	68.841		
671.41	70.073		
671.72	67.939		
672.02	72.093		
672.32	64.493		
672.62	67.442		
672.92	65.152		
673.22	66.935		
673.52	58.537		
673.82	68.293		
674.13	60		
674.43	68.696		
674.73	69.167		
675.03	58.621		
675.32	63.636		
675.62	67.521		
675.92	62.393		
676.22	64.815		
676.52	64.762		
676.82	67.89		
677.12	58.333		
677.42	64.762		
677.71	64.583		
678.01	67.308		
678.31	54.369		
678.61	69.388		
678.9	58.163		
679.2	68.889		
679.5	65.347		
679.79	56.701		
680.09	56.322		
680.39	58.025		
680.68	55.696		
680.98	56.989		
681.27	62.222		
681.57	62.821		
681.86	62.025		
682.16	61.25		
682.45	55.556		
682.75	57.831		
683.04	64.103		
683.34	50		
683.63	64.789		
683.92	64.179		
684.22	55.263		
684.51	55.072		
684.8	57.746		
685.1	56.338		
685.39	61.905		
685.68	55.224		
685.97	65.574		
686.26	67.213		
686.56	75.926		
686.85	70.968		
687.14	64.912		
687.43	59.259		
687.72	51.852		
688.01	48.077		
688.3	56		
688.59	72.222		
688.88	57.447		
689.17	60		
689.46	68.182		
689.75	50.877		
690.04	47.917		
690.33	50		
690.62	58.14		
690.91	56.25		
691.19	60		
691.48	46.667		
691.77	55		
692.06	68.293		
692.34	30.612		
692.63	53.659		
692.92	69.444		
693.2	48.718		
693.49	48.571		
693.78	45.714		
694.06	63.333		
694.35	43.75		
694.63	62.162		
694.92	62.069		
695.21	46.154		
695.49	46.875		
695.77	52.778		
696.06	61.29		
696.34	59.375		
696.63	53.846		
696.91	53.125		
697.19	42.424		
697.48	46.667		
